| Name                      | Version         | License                                                          |
| nbclient                  | 0.9.0           | BSD License                                                      |
| nbconvert                 | 7.14.2          | BSD License                                                      |
| nbformat                  | 5.9.2           | BSD License                                                      |
| nest-asyncio              | 1.5.9           | BSD License                                                      |
| notebook_shim             | 0.2.3           | BSD License                                                      |
| numpy                     | 1.26.3          | BSD License                                                      |
| pandas                    | 1.5.3           | BSD License                                                      |
| pandocfilters             | 1.5.0           | BSD License                                                      |
| prompt-toolkit            | 3.0.43          | BSD License                                                      |
| psutil                    | 5.9.7           | BSD License                                                      |
| pycparser                 | 2.21            | BSD License                                                      |
| python-json-logger        | 2.0.7           | BSD License                                                      |
| scikit-learn              | 1.3.2           | BSD License                                                      |
| scipy                     | 1.11.4          | BSD License                                                      |
| smmap                     | 5.0.1           | BSD License                                                      |
| terminado                 | 0.18.0          | BSD License                                                      |
| threadpoolctl             | 3.2.0           | BSD License                                                      |
| tinycss2                  | 1.2.1           | BSD License                                                      |
| toolz                     | 0.12.0          | BSD License                                                      |
| traitlets                 | 5.14.1          | BSD License                                                      |
| webcolors                 | 1.13            | BSD License                                                      |
| webencodings              | 0.5.1           | BSD License                                                      |
| wrapt                     | 1.16.0          | BSD License                                                      |
| pyzmq                     | 25.1.2          | BSD License; GNU Library or Lesser General Public License (LGPL) |
| pillow                    | 10.2.0          | Historical Permission Notice and Disclaimer (HPND)               |
| isoduration               | 20.11.0         | ISC License (ISCL)                                               |
| pexpect                   | 4.9.0           | ISC License (ISCL)                                               |
| ptyprocess                | 0.7.0           | ISC License (ISCL)                                               |
| PyYAML                    | 6.0.1           | MIT License                                                      |
| anyio                     | 4.2.0           | MIT License                                                      |
| argon2-cffi               | 23.1.0          | MIT License                                                      |
| argon2-cffi-bindings      | 21.2.0          | MIT License                                                      |
| async-lru                 | 2.0.4           | MIT License                                                      |
| attrs                     | 23.2.0          | MIT License                                                      |
| beautifulsoup4            | 4.12.3          | MIT License                                                      |
| blinker                   | 1.7.0           | MIT License                                                      |
| cachetools                | 5.3.2           | MIT License                                                      |
| cffi                      | 1.16.0          | MIT License                                                      |
| charset-normalizer        | 3.3.2           | MIT License                                                      |
| cli-exit-tools            | 1.2.6           | MIT License                                                      |
| debugpy                   | 1.8.0           | MIT License                                                      |
| dice-ml                   | 0.11            | MIT License                                                      |
| exceptiongroup            | 1.2.0           | MIT License                                                      |
| executing                 | 2.0.1           | MIT License                                                      |
| fonttools                 | 4.47.2          | MIT License                                                      |
| jedi                      | 0.19.1          | MIT License                                                      |
| jsonschema                | 4.21.0          | MIT License                                                      |
| jsonschema-specifications | 2023.12.1       | MIT License                                                      |
| lib-detect-testenv        | 2.0.8           | MIT License                                                      |
| markdown-it-py            | 3.0.0           | MIT License                                                      |
| mdurl                     | 0.1.2           | MIT License                                                      |
| parso                     | 0.8.3           | MIT License                                                      |
| platformdirs              | 4.1.0           | MIT License                                                      |
| plotly                    | 5.18.0          | MIT License                                                      |
| pure-eval                 | 0.2.2           | MIT License                                                      |
| pyparsing                 | 3.1.1           | MIT License                                                      |
| pytz                      | 2023.3.post1    | MIT License                                                      |
| raiutils                  | 0.4.1           | MIT License                                                      |
| referencing               | 0.32.1          | MIT License                                                      |
| rfc3339-validator         | 0.1.4           | MIT License                                                      |
| rfc3986-validator         | 0.1.1           | MIT License                                                      |
| rich                      | 13.7.0          | MIT License                                                      |
| rpds-py                   | 0.17.1          | MIT License                                                      |
| six                       | 1.16.0          | MIT License                                                      |
| soupsieve                 | 2.5             | MIT License                                                      |
| stack-data                | 0.6.3           | MIT License                                                      |
| toml                      | 0.10.2          | MIT License                                                      |
| tomli                     | 2.0.1           | MIT License                                                      |
| tzlocal                   | 5.2             | MIT License                                                      |
| uri-template              | 1.3.0           | MIT License                                                      |
| urllib3                   | 2.1.0           | MIT License                                                      |
| validators                | 0.22.0          | MIT License                                                      |
| wrapt_timeout_decorator   | 1.4.1           | MIT License                                                      |
| zipp                      | 3.17.0          | MIT License                                                      |
| tqdm                      | 4.66.1          | MIT License; Mozilla Public License 2.0 (MPL 2.0)                |
| certifi                   | 2023.11.17      | Mozilla Public License 2.0 (MPL 2.0)                             |
| fqdn                      | 1.5.1           | Mozilla Public License 2.0 (MPL 2.0)                             |
| defusedxml                | 0.7.1           | Python Software Foundation License                               |
| matplotlib                | 3.8.2           | Python Software Foundation License                               |
| typing_extensions         | 4.9.0           | Python Software Foundation License                               |
